SKUNumber,SKUDescription,UnitSize,UnitsPerCase,QtySoldInMonth,UnitofMeasureSold,LicNumber,LicName,CasePrice,UnitPrice
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,9,CS,77996300,ACE LIQUOR DISCOUNTER AT CANMORE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,9,CS,78049100,ACE LIQUOR DISCOUNTER AT CANMORE SOUTH,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,74817100,OLDS LIQUOR & BEER NO. 1,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,74989000,CROWFOOT WINE & SPIRITS - SIGNATURE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,75414100,ROYAL SPIRITS & WINES,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,75432900,LAKE LOUISE LIQUOR STORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,75480200,SOBEYS LIQUOR (LAKELAND),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,75891200,BRIDGELAND LIQUOR STORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76226200,SOBEYS LIQUOR (TUSCANY),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76252800,DEER PARK LIQUOR STORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76328600,SOBEYS LIQUOR (BRIDLEWOOD),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76366300,SHERBROOKE LIQUOR STORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76377900,SPIRITS ON 101,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76384100,B K LIQUOR STORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76445000,SOBEYS LIQUOR (NOTTINGHAM),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76468500,AVALANCHE SPIRITS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76474100,LIQUOR DEPOT AT BRENTWOOD,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76488200,LIQUOR HUTCH,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76654200,HAPPY'S LIQUOR STORE,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76738600,SOBEYS LIQUOR (CHESTERMERE),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76843900,LITTLE GUY LIQUOR CO.,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76965500,WILD ORCHID LIQUOR COMPANY,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77049900,GATEWAY CROSSING LIQUOR,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77159300,VINE ARTS WINE AND SPIRITS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77190700,WINE & BEYOND AT EMERALD HILLS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77293400,SOUTH COUNTRY CO-OP @ CHINOOK LIQUOR,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77323100,SOBEYS LIQUOR (LEWIS ESTATES),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77353000,SAFEWAY LIQUOR - FAIRWAY PLAZA,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77353400,SAFEWAY LIQUOR (GARRISON WOODS),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77364100,SPIRITS WEST,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77378300,SOBEYS LIQUOR (KINGSVIEW),75.66,12.61
